source,target
gameinformer,Darthgreg78
MSFTResearch,MSFTnews
MSFTResearch,Azure
JezCorden,Morpheus128
verge,xcapimBr
windowscentral,luizgilsonjr
TWTHEREDDRAGON,Dipslon
The_CrapGamer,Sontar22
Sobski117,stillwaters777
UnclePhailure,tru8888
JamieMoranUK,Maccusha
JamieMoranUK,Paul485Paul
DigitalTrends,MSFTnews
Locky75New,OskoolG
TWTHEREDDRAGON,stillwaters777
AngelNexus,Paul485Paul
dezi_rosado,4AGamers
WatchMixer,Dipslon
XboxQwik,BeastFireTimdog
pushsquare,MSonyNin
onmsft,marcin_skok
XboxMAD,xcapimBr
verge,luizgilsonjr
pushsquare,foxygames_uk
GAMERS_KNOWBEST,OttomanMadMan
onmsft,BiG_Porras
XboxQwik,luizgilsonjr
doctorps4,Locky75New
JezCorden,Sontar22
TWTHEREDDRAGON,UnclePhailure
gamespot,Maccusha
gamespot,FooVanCleef
GAMERS_KNOWBEST,RALPH4lyf
JamieMoranUK,SEGA4EVA1
verge,InnerFury4K
MSPowerBI,Darthgreg78
TWTHEREDDRAGON,MahvelFan
DeadboxOne,Radgamer420
OriginalGamer_4,4AGamers
pushsquare,DeadboxOne
windowscentral,hasssaaannn
321techreviews,GFXCoach
WatchMixer,EarlRobinson3
Polygon,madmanmarz
pushsquare,JayDubcity16
mspoweruser,marcin_skok
LegendOfGamer80,AEGRO
XboxMAD,KiwiPiwi4
MSonyNin,AEGRO
Locky75New,UnclePhailure
Vampero,AngelNexus
XboxMAD,Maccusha
VG247,RALPH4lyf
mspoweruser,Galloping_Death
windowscentral,xcapimBr
DigitalTrends,francoleuzzi
mspoweruser,luizgilsonjr
gameinformer,xcapimBr
mspoweruser,MarcoCHardware
gameinformer,raywand
JamieMoranUK,dreyer_smit
TWTHEREDDRAGON,psi01
onmsft,SEGA4EVA1
Vampero,SEGA4EVA1
The_CrapGamer,Galloping_Death
tru8888,Henriquelagarto
JamieMoranUK,Vampero
AEGRO,Radgamer420
321techreviews,FlyRts
XboxQwik,JezCorden
VG247,KiwiPiwi4
LoTgaming7,FlyRts
JezCorden,OttomanMadMan
XboxMAD,Paul485Paul
gameinformer,madmanmarz
windowscentral,JezCorden
The_CrapGamer,hspjap
GamingBoltTweet,raywand
toddbishop,MSPowerBI
windowscentral,MahvelFan
AEGRO,UnclePhailure
Polygon,JoshChuckTM
XboxMAD,HCcasualgamer
OriginalGamer_4,4AG_rts
verge,EarlRobinson3
TWTHEREDDRAGON,OttomanMadMan
verge,Dipslon
BeastFireTimdog,psi01
Xbox,DEATHMOBILE
OriginalGamer_4,Bear_Retweets
LoTgaming7,NB_Retweets
mspoweruser,fox180177
Sobski117,Morpheus128
nosretro,GFXCoach
windowscentral,Maccusha
verge,MahvelFan
windowscentral,Uberutang
BeastFireTimdog,Bluestinger223
XboxWrld,OttomanMadMan
BeastFireTimdog,EarlRobinson3
Locky75New,JayDubcity16
Sobski117,BetaCypher
321techreviews,Bear_Retweets
JamieMoranUK,JoshChuckTM
MSonyNin,Henriquelagarto
engadget,Darthgreg78
JamieMoranUK,ma1asiah
windowscentral,OskoolG
JezCorden,JoshChuckTM
verge,raywand
XboxMAD,Morpheus128
TWTHEREDDRAGON,hspjap
XboxMAD,InnerFury4K
Sobski117,AngelNexus
Xbox,L3thalPoppa
foxygames_uk,Henriquelagarto
nosretro,NB_Retweets
DigitalTrends,MahvelFan
mspoweruser,InnerFury4K
verge,BetaCypher
XboxQwik,BiG_Porras
dreyer_smit,Paul485Paul
MSPowerBI,francoleuzzi
XboxWrld,RALPH4lyf
windowscentral,Vampero
BeastFireTimdog,imo_2006
pushsquare,UnclePhailure
VG247,SunsetMikeyX
gameinformer,frndlyCombtnt
WatchMixer,BetaCypher
MSPowerBI,MSFTnews
mspoweruser,psi01
JayDubcity16,UnclePhailure
SpartanBlem,xcapimBr
XboxQwik,HCcasualgamer
XboxQwik,FooVanCleef
Sobski117,imo_2006
Locky75New,BeastFireTimdog
The_CrapGamer,Bluestinger223
toddbishop,ihaveabiblesite
DigitalTrends,Microsoft
dreyer_smit,JoshChuckTM
OriginalGamer_4,FlyRts
windowscentral,JoshChuckTM
TWTHEREDDRAGON,BetaCypher
XboxWrld,L3thalPoppa
321techreviews,4AG_rts
BeastFireTimdog,L3thalPoppa
Microsoft,hasssaaannn
JezCorden,SunsetMikeyX
MSFTResearch,JoshChuckTM
TWTHEREDDRAGON,EarlRobinson3
MSFTnews,marcin_skok
Microsoft,MSFTnews
MSFTnews,ihaveabiblesite
VG247,MahvelFan
XboxQwik,bdp2007
LegendOfGamer80,tru8888
GamingBoltTweet,frndlyCombtnt
XboxMAD,Galloping_Death
The_CrapGamer,DEATHMOBILE
LoTgaming7,4AGamers
gamespot,KiwiPiwi4
JamieMoranUK,BiG_Porras
VG247,AngelNexus
XboxWrld,ma1asiah
The_CrapGamer,RALPH4lyf
Microsoft,francoleuzzi
TWTHEREDDRAGON,SunsetMikeyX
windowscentral,JazzynupeXbox
OXM,luizgilsonjr
XboxQwik,hspjap
XboxMAD,Sontar22
LegendOfGamer80,doctorps4
MSFTnews,francoleuzzi
BeastFireTimdog,Sontar22
The_CrapGamer,HCcasualgamer
MSPowerBI,hasssaaannn
The_CrapGamer,OttomanMadMan
MSonyNin,Radgamer420
JayDubcity16,Henriquelagarto
gamespot,madmanmarz
windowscentral,BetaCypher
MSFTResearch,Microsoft
XboxMAD,JazzynupeXbox
OttomanMadMan,The_CrapGamer
dezi_rosado,GFXCoach
mspoweruser,Dipslon
JamieMoranUK,HCcasualgamer
XboxMAD,dreyer_smit
TWTHEREDDRAGON,xcapimBr
dreyer_smit,FooVanCleef
WatchMixer,Darthgreg78
dezi_rosado,FlyRts
dreyer_smit,Morpheus128
XboxMAD,frndlyCombtnt
nosretro,Bear_Retweets
tru8888,madmanmarz
GAMERS_KNOWBEST,Bluestinger223
ma1asiah,SpartanBlem
LoTgaming7,GFXCoach
XboxQwik,Atomicaust73
JamieMoranUK,Morpheus128
verge,bdp2007
OriginalGamer_4,NB_Retweets
windowscentral,ma1asiah
VG247,SEGA4EVA1
windowscentral,Galloping_Death
windowscentral,Paul485Paul
TWTHEREDDRAGON,SpartanBlem
Locky75New,psi01
verge,marcin_skok
JezCorden,HCcasualgamer
JezCorden,AngelNexus
Sobski117,SpartanBlem
XboxQwik,EarlRobinson3
XboxWrld,BeastFireTimdog
XboxWrld,OskoolG
DJSMARTBOMB,4AG_rts
MSonyNin,UnclePhailure
XboxQwik,DEATHMOBILE
TWTHEREDDRAGON,InnerFury4K
XboxMAD,raywand
GAMERS_KNOWBEST,bdp2007
TWTHEREDDRAGON,HCcasualgamer
Sobski117,Maccusha
engadget,ihaveabiblesite
WatchMixer,KiwiPiwi4
JezCorden,Galloping_Death
JamieMoranUK,EarlRobinson3
DJSMARTBOMB,GFXCoach
windowscentral,francoleuzzi
XboxMAD,FooVanCleef
LegendOfGamer80,DeadboxOne
MSonyNin,tru8888
XboxMAD,Bluestinger223
OriginalGamer_4,GFXCoach
onmsft,InnerFury4K
foxygames_uk,MahvelFan
JezCorden,FooVanCleef
TWTHEREDDRAGON,Atomicaust73
XboxWrld,Sontar22
